vessel_type,variant,dwt_tonnes,cargo_capacity_mt,draft_m,loa_m,beam_m,speed_knots,fuel_consumption_sea_mt_day,fuel_consumption_port_mt_day,daily_opex_usd_day,charter_rate_reference,source,provenance
HANDYSIZE,Standard,35000,32000,10.5,180.0,28.0,12.5,20.0,2.5,4500.0,9000.0,Industry Benchmark,ESTIMATED
SUPRAMAX,Standard,55000,50000,12.2,190.0,32.26,13.0,26.0,3.0,4800.0,12000.0,Industry Benchmark,ESTIMATED
PANAMAX,Standard,75000,70000,14.0,229.0,32.26,13.0,32.0,3.5,5200.0,14000.0,Industry Benchmark,ESTIMATED
PANAMAX,Kamsarmax,82000,77000,14.4,229.0,32.26,13.0,34.0,3.5,5400.0,15000.0,Industry Benchmark,ESTIMATED
CAPESIZE,Standard,180000,170000,18.2,295.0,47.0,13.0,50.0,4.5,6500.0,22000.0,Industry Benchmark,ESTIMATED
CAPESIZE,Newcastlemax,210000,200000,18.5,300.0,50.0,13.0,52.0,5.0,7000.0,24000.0,Industry Benchmark,ESTIMATED
