date,bdi,bdry_close,bdi_filled,bdry_close_filled,source_bdi,source_bdry,data_type
2023-01-03,,8.819999694824219,False,False,Investing.com_Manual,Yahoo_Finance_BDRY,REAL
2023-01-04,,9.25,False,False,Investing.com_Manual,Yahoo_Finance_BDRY,REAL
2023-01-05,,9.510000228881836,False,False,Investing.com_Manual,Yahoo_Finance_BDRY,REAL
2023-01-06,,10.039999961853027,False,False,Investing.com_Manual,Yahoo_Finance_BDRY,REAL
2023-01-09,,9.739999771118164,False,False,Investing.com_Manual,Yahoo_Finance_BDRY,REAL
2023-01-10,,9.119999885559082,False,False,Investing.com_Manual,Yahoo_Finance_BDRY,REAL
2023-01-11,,8.979999542236328,False,False,Investing.com_Manual,Yahoo_Finance_BDRY,REAL
2023-01-12,,9.09000015258789,False,False,Investing.com_Manual,Yahoo_Finance_BDRY,REAL
2023-01-13,,9.359999656677246,False,False,Investing.com_Manual,Yahoo_Finance_BDRY,REAL
2023-01-17,,9.40999984741211,False,False,Investing.com_Manual,Yahoo_Finance_BDRY,REAL
2023-01-18,,8.9399995803833,False,False,Investing.com_Manual,Yahoo_Finance_BDRY,REAL
2023-01-19,,8.774999618530273,False,False,Investing.com_Manual,Yahoo_Finance_BDRY,REAL
2023-01-20,,8.949999809265137,False,False,Investing.com_Manual,Yahoo_Finance_BDRY,REAL
2023-01-23,,8.640000343322754,False,False,Investing.com_Manual,Yahoo_Finance_BDRY,REAL
2023-01-24,,8.4399995803833,False,False,Investing.com_Manual,Yahoo_Finance_BDRY,REAL
2023-01-25,,8.449999809265137,False,False,Investing.com_Manual,Yahoo_Finance_BDRY,REAL
2023-01-26,,8.119999885559082,False,False,Investing.com_Manual,Yahoo_Finance_BDRY,REAL
2023-01-27,,8.270000457763672,False,False,Investing.com_Manual,Yahoo_Finance_BDRY,REAL
2023-01-30,,8.0,False,False,Investing.com_Manual,Yahoo_Finance_BDRY,REAL
2023-01-31,,7.800000190734863,False,False,Investing.com_Manual,Yahoo_Finance_BDRY,REAL
2023-02-01,,7.53000020980835,False,False,Investing.com_Manual,Yahoo_Finance_BDRY,REAL
2023-02-02,,7.309999942779541,False,False,Investing.com_Manual,Yahoo_Finance_BDRY,REAL
2023-02-03,,7.110000133514404,False,False,Investing.com_Manual,Yahoo_Finance_BDRY,REAL
2023-02-06,,6.800000190734863,False,False,Investing.com_Manual,Yahoo_Finance_BDRY,REAL
2023-02-07,,7.159999847412109,False,False,Investing.com_Manual,Yahoo_Finance_BDRY,REAL
2023-02-08,,7.619999885559082,False,False,Investing.com_Manual,Yahoo_Finance_BDRY,REAL
2023-02-09,,7.119999885559082,False,False,Investing.com_Manual,Yahoo_Finance_BDRY,REAL
2023-02-10,,7.230000019073486,False,False,Investing.com_Manual,Yahoo_Finance_BDRY,REAL
2023-02-13,,7.0,False,False,Investing.com_Manual,Yahoo_Finance_BDRY,REAL
2023-02-14,,6.730000019073486,False,False,Investing.com_Manual,Yahoo_Finance_BDRY,REAL
2023-02-15,,6.53000020980835,False,False,Investing.com_Manual,Yahoo_Finance_BDRY,REAL
2023-02-16,,6.75,False,False,Investing.com_Manual,Yahoo_Finance_BDRY,REAL
2023-02-17,,6.599999904632568,False,False,Investing.com_Manual,Yahoo_Finance_BDRY,REAL
2023-02-21,,7.059999942779541,False,False,Investing.com_Manual,Yahoo_Finance_BDRY,REAL
2023-02-22,,7.289999961853027,False,False,Investing.com_Manual,Yahoo_Finance_BDRY,REAL
2023-02-23,,7.960000038146973,False,False,Investing.com_Manual,Yahoo_Finance_BDRY,REAL
2023-02-24,,7.949999809265137,False,False,Investing.com_Manual,Yahoo_Finance_BDRY,REAL
2023-02-27,,8.149999618530273,False,False,Investing.com_Manual,Yahoo_Finance_BDRY,REAL
2023-02-28,,9.050000190734863,False,False,Investing.com_Manual,Yahoo_Finance_BDRY,REAL
2023-03-01,,8.819999694824219,False,False,Investing.com_Manual,Yahoo_Finance_BDRY,REAL
2023-03-02,,8.979999542236328,False,False,Investing.com_Manual,Yahoo_Finance_BDRY,REAL
2023-03-03,,9.390000343322754,False,False,Investing.com_Manual,Yahoo_Finance_BDRY,REAL
2023-03-06,,9.149999618530272,False,False,Investing.com_Manual,Yahoo_Finance_BDRY,REAL
2023-03-07,,9.18000030517578,False,False,Investing.com_Manual,Yahoo_Finance_BDRY,REAL
2023-03-08,,9.600000381469728,False,False,Investing.com_Manual,Yahoo_Finance_BDRY,REAL
